F1,F2,Class,F3,F4
39.5397412,37.81156173,Periphery,BT_S2,Immune
29.31907395,21.27446859,Periphery,BT_S2,Immune
42.67433594,34.16873347,Periphery,BT_S2,Immune
36.44687418,39.95090862,Periphery,BT_S2,Immune
37.62331907,36.2154174,Periphery,BT_S2,Immune
32.71043239,43.0331953,Periphery,BT_S2,Immune
33.41817062,30.87156434,Periphery,BT_S2,Immune
29.24205525,35.04604498,Periphery,BT_S2,Immune
42.09770457,37.28503949,Periphery,BT_S2,Immune
39.23612453,33.90631921,Periphery,BT_S2,Immune
2.34028021,-2.26104179,Periphery,BT_S2,Immune
30.01495206,16.75817344,Periphery,BT_S2,Immune
32.64944246,22.02053087,Periphery,BT_S2,Immune
33.22172765,29.71798049,Periphery,BT_S2,Immune
30.23136482,32.6793981,Periphery,BT_S2,Immune
30.80156944,27.4786636,Periphery,BT_S2,Immune
26.60180747,31.92454608,Periphery,BT_S2,Immune
38.7264023,47.38786461,Periphery,BT_S2,Immune
39.93557917,36.28564866,Periphery,BT_S2,Immune
29.3648784,34.10503695,Periphery,BT_S2,Immune
27.44759217,35.35588866,Periphery,BT_S2,Immune
37.46957637,24.62648321,Periphery,BT_S2,Immune
35.04610213,22.60673042,Periphery,BT_S2,Immune
37.95305251,42.56468844,Periphery,BT_S2,Immune
42.71007378,42.67316522,Periphery,BT_S2,Immune
41.57396469,36.47128427,Periphery,BT_S2,Immune
30.41609678,31.11567085,Periphery,BT_S2,Immune
32.86300255,32.05881499,Periphery,BT_S2,Immune
37.18631492,38.33101257,Periphery,BT_S2,Immune
34.70671001,33.44445888,Periphery,BT_S2,Immune
26.97689282,30.48861907,Periphery,BT_S2,Immune
40.34730028,35.31574777,Periphery,BT_S2,Immune
25.61722229,13.25882412,Periphery,BT_S2,Immune
30.87676501,36.53758939,Periphery,BT_S2,Immune
41.15886592,37.48073419,Periphery,BT_S2,Immune
27.87885265,38.13711524,Periphery,BT_S2,Immune
38.50222456,43.88976362,Periphery,BT_S2,Immune
36.5198547,39.98055356,Periphery,BT_S2,Immune
29.7008394,41.60617681,Periphery,BT_S2,Immune
30.11549828,27.86372975,Periphery,BT_S2,Immune
37.2858081,47.09534466,Periphery,BT_S2,Immune
29.49099934,34.2876523,Periphery,BT_S2,Immune
33.30224532,21.51630377,Periphery,BT_S2,Immune
27.72676944,11.75128474,Periphery,BT_S2,Immune
38.74431959,40.3131816,Periphery,BT_S2,Immune
35.40612745,33.55068137,Periphery,BT_S2,Immune
37.1523882,33.38272431,Periphery,BT_S2,Immune
32.1295073,32.01002112,Periphery,BT_S2,Immune
32.22231233,29.53165898,Periphery,BT_S2,Immune
35.31025122,47.11202116,Periphery,BT_S2,Immune
42.93943602,42.54863419,Periphery,BT_S2,Immune
34.22280918,32.13608901,Periphery,BT_S2,Immune
23.7477952,34.59583254,Periphery,BT_S2,Immune
35.43981957,37.86889736,Periphery,BT_S2,Immune
19.54030812,30.96833693,Periphery,BT_S2,Immune
18.5720443,27.3904873,Periphery,BT_S2,Immune
29.42433479,22.14760351,Periphery,BT_S2,Immune
35.48628685,39.08835767,Periphery,BT_S2,Immune
43.33951461,40.84071092,Periphery,BT_S2,Immune
38.85947992,44.99240711,Periphery,BT_S2,Immune
33.09864774,33.37164876,Periphery,BT_S2,Immune
31.25471574,30.38926485,Periphery,BT_S2,Immune
35.17294556,29.60324038,Periphery,BT_S2,Immune
